source,cell,cls,documented,measurable,dist_km,lam_bg_per_day,expected_5d,crit_RR,R_min_80pct,sig_primary_kPa,sig_secondary_kPa,dTau_min_kPa_Asigma0.03,R_pred_primary_Asigma0.03,power_primary_Asigma0.03,R_pred_secondary_Asigma0.03,power_secondary_Asigma0.03,dTau_min_kPa_Asigma0.10,R_pred_primary_Asigma0.10,power_primary_Asigma0.10,R_pred_secondary_Asigma0.10,power_secondary_Asigma0.10,dTau_min_kPa_Asigma0.15,R_pred_primary_Asigma0.15,power_primary_Asigma0.15,R_pred_secondary_Asigma0.15,power_secondary_Asigma0.15
denali,salton_brawley,A,False,True,4034.1263006289187,0.8,4.0,4.400999999999988,5.5,21.93615257901826,164.67829693508526,51.14244276715276,2.077582765550259,0.004,242.08201277352128,1.0,170.47480922384253,1.2452813966585663,0.0,5.190255728878265,0.729,255.7122138357638,1.1574751258413685,0.0,2.997729931999008,0.09775
denali,lassen,,,False,,,,,,,,,,,,,,,,,,,,,,
denali,mono_west_nv_mina,B,True,True,3402.435969972006,0.06666666666666667,0.3333333333333333,6.0,12.0,29.102699700346538,205.13707591292805,74.54719949364002,2.638181858688146,0.15325,932.5311263558186,0.99825,248.49066497880003,1.3378007000726553,0.05075,7.778556328866978,0.57675,372.7359974682,1.2141181344605796,0.04525,3.925840647804566,0.25875
denali,little_skull_mtn,B,True,True,3634.879845139867,0.14444444444444443,0.7222222222222221,9.0,13.75,26.079010833656305,188.37403207772957,78.63116472337741,2.385241461946259,0.01175,533.326817656453,1.0,262.10388241125804,1.2979552068638638,0.00125,6.578062971564024,0.235,393.15582361688706,1.1898890556421389,0.00125,3.5107401370955196,0.0445
denali,cedar_city_ut,B,True,True,3674.26910382603,0.044444444444444446,0.22222222222222224,9.0,19.75,25.61656055840087,185.77303265460864,89.49460474041392,2.348754885877551,0.0665,489.0351761820457,0.983,298.3153491347131,1.2919666671188816,0.032,6.409173519768722,0.27175,447.4730237020696,1.186226274581667,0.0315,3.450388675849124,0.12325
denali,smith_valley_nv,C,True,True,3315.994211454072,0.044444444444444446,0.22222222222222224,9.0,19.5,30.37286539513272,212.0613174265464,89.11243396709102,2.752277763561122,0.089,1174.632463804335,0.98325,297.0414465569701,1.3549013590752352,0.0335,8.336247493299046,0.3665,445.5621698354551,1.2244426603228487,0.0335,4.111311659574971,0.14175
denali,parkfield,C,False,True,3572.553855061882,0.28888888888888886,1.4444444444444442,3.3749999999999996,5.25,26.83859836687132,192.62408047423983,49.74684229810597,2.446405845361058,0.24675,614.4961615184258,1.0,165.82280766035325,1.3078518520593578,0.04625,6.86365984613809,0.9435,248.73421149052987,1.1959298370246316,0.035,3.611634848654518,0.52425
denali,mendocino,C,False,True,2974.6001432129274,0.5444444444444444,2.722222222222222,2.966326530612241,4.0500000000000025,36.375849670809146,243.96657173572092,41.96150643355345,3.3619740702509815,0.6225,3402.3411863427314,1.0,139.87168811184486,1.4387267149608154,0.03875,11.46920614536987,1.0,209.80753216776725,1.2744384681640681,0.02375,5.085756613114616,0.934
denali,wasatch_slc,C,False,True,3427.3634529542646,0.3888888888888889,1.9444444444444444,9.0,11.75,28.75217779822162,203.214457490961,73.91559721770504,2.607536554054531,0.00025,874.6425159689651,1.0,246.3853240590168,1.3331196245025432,0.0,7.630432859226909,0.28125,369.5779860885252,1.2112842801908072,0.0,3.87584246671331,0.00875
denali,san_jacinto,C,False,True,3959.8268260181962,0.7,3.5,2.379605993340732,3.2500000000000018,22.623621804657354,168.6750784444149,35.3596498902494,2.125741593819337,0.36325,276.5806927721784,1.0,117.86549963416466,1.2538718174499377,0.05175,5.4019002209777724,0.9955,176.798249451247,1.162792157709985,0.03975,3.0786787354904415,0.759
